name,address,genre,sources,urlシュラスコ&ビアレストランALEGRIA 五反田,東京都 品川区 西五反田 1-30-2 ウイン五反田 B1F,steak,tabelog,https://tabelog.com/tokyo/A1316/A131603/13214271/
ビフリパ -BEEF REPUBLIC-,東京都 台東区 上野 4-5-6 ウィズビル B1F,steak,tabelog,https://tabelog.com/tokyo/A1311/A131101/13314535/
銀座のステーキ 銀座中央店,東京都 中央区 銀座 5-9-1 銀座幸ビル B1F,steak,tabelog,https://tabelog.com/tokyo/A1301/A130101/13188231/
ふらんす亭 池袋サンシャイン60階通り店,東京都 豊島区 東池袋 1-12-13 セイコービル東池袋 B1F,steak,tabelog,https://tabelog.com/tokyo/A1305/A130501/13032085/
銀熊茶寮,東京都 中央区 銀座 6-3-11 西銀座ビル 7F,steak,tabelog,https://tabelog.com/tokyo/A1301/A130101/13039211/
RoastBeef&Grill ROSSINI,東京都 千代田区 丸の内 3-2-1,steak,tabelog,https://tabelog.com/tokyo/A1302/A130201/13228000/
上州肉と海鮮和食 個室居酒屋 大吉 新宿西口店,東京都 新宿区 西新宿 1-18-5 甲新ビル 5F,steak,tabelog,https://tabelog.com/tokyo/A1304/A130401/13194009/
成増ダイナマイト酒場グレート,東京都 板橋区 成増 2-18-12,steak,tabelog,https://tabelog.com/tokyo/A1322/A132204/13175213/
銀座 水響亭,東京都 中央区 銀座 7-5-4 毛利ビル B2F,steak,tabelog,https://tabelog.com/tokyo/A1301/A130101/13016557/
焼肉 PANCHAN,東京都 港区 芝 5-24-16 1・2F,steak,tabelog,https://tabelog.com/tokyo/A1314/A131402/13207588/
大衆肉ビストロ Lit,東京都 北区 赤羽 1-40-6 1F,steak,tabelog,https://tabelog.com/tokyo/A1323/A132305/13228139/
Steak＆Trattoria Carnesio,東京都 千代田区 大手町 1-9-2 大手町フィナンシャルシティグランキューブ 1F,steak,tabelog,https://tabelog.com/tokyo/A1302/A130201/13195270/
37 Steakhouse & Bar,東京都 港区 六本木 6-15-1 六本木ヒルズ 六本木けやき坂 けやき坂通り 2F,steak,tabelog,https://tabelog.com/tokyo/A1307/A130701/13108155/
CHURRASCO GANG 渋谷本店,東京都 渋谷区 宇田川町 31-1 HULIC & new shibuya 6F,steak,tabelog,https://tabelog.com/tokyo/A1303/A130301/13276939/
ビヤホール 銀座ライオン 新橋店,東京都 港区 新橋 1-15-5 ペルサ 2・3F,steak,tabelog,https://tabelog.com/tokyo/A1301/A130103/13035954/
MEAT GARDEN,東京都 新宿区 歌舞伎町 1-17-7 リカム3ビル 3F,steak,tabelog,https://tabelog.com/tokyo/A1304/A130401/13253719/
焼肉ZENIBA 渋谷店,東京都 渋谷区 神宮前 6-19-17 GEMS神宮前 10F,steak,tabelog,https://tabelog.com/tokyo/A1303/A130301/13219837/
肉バル Bar&Grill motto 池袋,東京都 豊島区 東池袋 1-39-20 慶太ビル 2F,steak,tabelog,https://tabelog.com/tokyo/A1305/A130501/13179269/
神田の肉バル RUMP CAP 神田店,東京都 千代田区 鍛冶町 2-13-10,steak,tabelog,https://tabelog.com/tokyo/A1310/A131002/13180733/
Prime42 steakhouse & sky bar,東京都 港区 東新橋 1-5-2 汐留シティーセンタービル 42Ｆ,steak,tabelog,https://tabelog.com/tokyo/A1301/A130103/13200928/
鉄板焼 吉,東京都 港区 西麻布 4-11-14 FLEG西麻布virege B1F,steak,tabelog,https://tabelog.com/tokyo/A1307/A130703/13303479/
肉BISTRO TONO,東京都 港区 西新橋 2-2-7 MARYSOLビル 1F,steak,tabelog,https://tabelog.com/tokyo/A1308/A130802/13194842/
東京焼肉 平城苑 銀座5丁目店,東京都 中央区 銀座 5-8-9 BINO銀座 3F,steak,tabelog,https://tabelog.com/tokyo/A1301/A130101/13007650/
池袋 大人のハンバーグ,東京都 豊島区 東池袋 1-3-9,steak,tabelog,https://tabelog.com/tokyo/A1305/A130501/13138450/
ステーキ&ハンバーグ専門店 肉の村山 亀戸店,東京都 江東区 亀戸 6-59-10 サンシャレード亀戸 2F,steak,tabelog,https://tabelog.com/tokyo/A1312/A131202/13213936/
鉄板焼 りんご,東京都 港区 虎ノ門 2-6-1 虎ノ門ヒルズ ステーションタワー 4F,steak,tabelog,https://tabelog.com/tokyo/A1308/A130802/13293447/
焼肉うしごろ 表参道店,東京都 渋谷区 神宮前 5-50-3 アーバンテラス青山 2F,steak,tabelog,https://tabelog.com/tokyo/A1306/A130602/13252182/
Dining kaze 池袋の風,東京都 豊島区 南池袋 3-16-10 サンライズ南池袋　１Ｆ,steak,tabelog,https://tabelog.com/tokyo/A1305/A130501/13051165/
ブッチャーズ 八百八 三軒茶屋店,東京都 世田谷区 三軒茶屋 2-14-5 1F,steak,tabelog,https://tabelog.com/tokyo/A1317/A131706/13194123/
円居 神楽坂別邸,東京都 新宿区 揚場町 2-1 軽子坂ＭＮビル　１Ｆ・Ｂ１Ｆ,steak,tabelog,https://tabelog.com/tokyo/A1309/A130905/13020416/
鉄板焼 しろや 銀座亭,東京都 中央区 銀座 5-9-16 GINZA-A5 3F,steak,tabelog,https://tabelog.com/tokyo/A1301/A130101/13227337/
こかげ酒場,東京都 目黒区 自由が丘 2-15-6 2F,steak,tabelog,https://tabelog.com/tokyo/A1317/A131703/13181411/
飛車角 有明ガーデン店,東京都 江東区 有明 2-1-8 有明ガーデン 商業棟 5F,steak,tabelog,https://tabelog.com/tokyo/A1313/A131306/13245977/
BEEF STEAK CLUB KIYO GINZA,東京都 中央区 銀座 7-2-18 グランベルスクエア 10F,steak,tabelog,https://tabelog.com/tokyo/A1301/A130101/13289342/
個室居酒屋 プレミアム和牛肉鍋＆特選肉寿司 にく楽 新宿本店,東京都 新宿区 歌舞伎町 1-15-8 丸雄ビル 2F・4F,steak,tabelog,https://tabelog.com/tokyo/A1304/A130401/13240638/
BATON 東池袋店,東京都 豊島区 東池袋 4-5-1 エアライズタワー 1F,steak,tabelog,https://tabelog.com/tokyo/A1305/A130501/13227253/
けやき坂,東京都 港区 六本木 6-10-3 六本木ヒルズ グランド ハイアット 東京 4F,steak,tabelog,https://tabelog.com/tokyo/A1307/A130701/13040328/
肉バル すみやき,東京都 港区 西麻布 1-14-17 西麻布伊東ビル 1F,steak,tabelog,https://tabelog.com/tokyo/A1307/A130701/13291525/
炭焼道楽 池袋店,東京都 豊島区 南池袋 1-23-11 ブロンズビル 2F,steak,tabelog,https://tabelog.com/tokyo/A1305/A130501/13174832/
フォルクス 豊洲店,東京都 江東区 豊洲 3-3-3 あいプラザ1F,steak,tabelog,https://tabelog.com/tokyo/A1313/A131307/13041834/
マロリーポークステーキ 六本木店,東京都 港区 六本木 3-1-25 六本木グランドプラザ BF1,steak,tabelog,https://tabelog.com/tokyo/A1307/A130701/13302177/
BLACK TERRACE,東京都 目黒区 青葉台 3-1-12 イーストビル 4F,steak,tabelog,https://tabelog.com/tokyo/A1303/A130301/13195946/
旬菜ステーキ処 らいむらいと,東京都 千代田区 九段南 3-4-8 パディホームズ一口坂　１Ｆ・B1F,steak,tabelog,https://tabelog.com/tokyo/A1309/A130904/13000220/
マロリーポークステーキ 中目黒店,東京都 目黒区 上目黒 3-5-20,steak,tabelog,https://tabelog.com/tokyo/A1317/A131701/13268062/
LA BODEGA PARRILLA,東京都 豊島区 南池袋 1-28-2 池袋パルコ本館 8F,steak,tabelog,https://tabelog.com/tokyo/A1305/A130501/13133690/
オーク ドア,東京都 港区 六本木 6-10-3 六本木ヒルズ グランド ハイアット 東京 6F,steak,tabelog,https://tabelog.com/tokyo/A1307/A130701/13000004/
焼肉GROW,東京都 中央区 日本橋 3-8-9 日本橋ホリビル　B1F,steak,tabelog,https://tabelog.com/tokyo/A1302/A130202/13181252/
肉ビストロ&クラフトビール ランプラント,東京都 千代田区 丸の内 2-2-3 丸の内仲通りビル 1F,steak,tabelog,https://tabelog.com/tokyo/A1302/A130201/13152067/
XEX TOKYO / 鉄板焼An,東京都 千代田区 丸の内 1-9-1 大丸東京店 13F,steak,tabelog,https://tabelog.com/tokyo/A1302/A130201/13044736/
鉄板焼 ステーキ 集 銀座,東京都 中央区 銀座 8-5-18 Cortile GinzaⅣ BLDG B1F,steak,tabelog,https://tabelog.com/tokyo/A1301/A130103/13234842/
ステーキハウスBLACK PEARL,東京都 大田区 池上 6-6-2 黄金ビル 1F,steak,tabelog,https://tabelog.com/tokyo/A1317/A131714/13311785/
大井町銭場精肉店,東京都 品川区 東大井 5-14-19 ISOLA大井町2F,steak,tabelog,https://tabelog.com/tokyo/A1315/A131501/13125061/
サクレフルール 日本橋,東京都 中央区 日本橋本町 2-2-5 日本橋本町二丁目ビル 1F,steak,tabelog,https://tabelog.com/tokyo/A1302/A130202/13231368/
ルポトローズ,東京都 港区 元麻布 3-11-2 カドル麻布十番 5F,steak,tabelog,https://tabelog.com/tokyo/A1307/A130702/13134947/
肉バル SHOUTAIAN 渋谷店,東京都 渋谷区 桜丘町 24-8 新南平台マンション 1Ｆ,steak,tabelog,https://tabelog.com/tokyo/A1303/A130301/13156252/
みやび 六本木店,東京都 港区 六本木 5-18-21 ファイブプラザビル １F,steak,tabelog,https://tabelog.com/tokyo/A1307/A130702/13095890/
IL LUPINO PRIME,東京都 港区 北青山 3-4-3 ののあおやま 2F,steak,tabelog,https://tabelog.com/tokyo/A1306/A130602/13272082/
古民家商店 spajio,東京都 港区 芝 2-24-13,steak,tabelog,https://tabelog.com/tokyo/A1314/A131401/13267336/
ステーキハウス松波,東京都 台東区 浅草 1-11-6,steak,tabelog,https://tabelog.com/tokyo/A1311/A131102/13003706/
BLT STEAK  ROPPONGI,東京都 港区 六本木 1丁目6-1 泉ガーデン5階,steak,tabelog,https://tabelog.com/tokyo/A1307/A130701/13172995/
鉄板 天祐,東京都 新宿区 歌舞伎町 1-29-1 東急歌舞伎町タワー 45F,steak,tabelog,https://tabelog.com/tokyo/A1304/A130401/13284022/
炉端バル さま田,東京都 千代田区 神田佐久間町 3-21-6 第１ヤマコビル 1Ｆ,steak,tabelog,https://tabelog.com/tokyo/A1310/A131001/13175527/
옥정가,東京都 新宿区 大久保 2-18-10 新宿スカイプラザ 104号,steak,tabelog,https://tabelog.com/tokyo/A1304/A130404/13227172/
肉ダイニング 暴れ牛 新宿三丁目店,東京都 新宿区 新宿 3-8-2 クロスビル B1F,steak,tabelog,https://tabelog.com/tokyo/A1304/A130401/13266119/
フォルクス 青梅店,東京都 青梅市 新町 8-21-4,steak,tabelog,https://tabelog.com/tokyo/A1330/A133002/13042041/
六花,東京都 港区 六本木 6-1-12 21六本木ビル 2F,steak,tabelog,https://tabelog.com/tokyo/A1307/A130701/13255614/
ベンジャミンテラスラウンジ,東京都 千代田区 紀尾井町 1-3 東京ガーデンテラス紀尾井町 4F,steak,tabelog,https://tabelog.com/tokyo/A1308/A130801/13294371/
ステーキのどん 羽村店,東京都 羽村市 小作台 5-19-3,steak,tabelog,https://tabelog.com/tokyo/A1330/A133002/13101169/
鉄板焼 たまゆら,東京都 目黒区 上目黒 1-26-1 317,steak,tabelog,https://tabelog.com/tokyo/A1317/A131701/13239152/
USHIGORO S. SHINJUKU,東京都 新宿区 新宿 3-17-10 HULIC & New SHINJUKU 11F,steak,tabelog,https://tabelog.com/tokyo/A1304/A130401/13268688/
銀座のステーキ 渋谷店,東京都 渋谷区 桜丘町 15-17 渋谷グランベルホテル 2F,steak,tabelog,https://tabelog.com/tokyo/A1303/A130301/13247501/
炭火焼きビストロ TONO,東京都 中央区 新川 1-22-13 三秀ビル 1F,steak,tabelog,https://tabelog.com/tokyo/A1302/A130203/13309824/
スパイスビストロB 丸ビル店,東京都 千代田区 丸の内 2-4-1 丸の内ビルディング 5F,steak,tabelog,https://tabelog.com/tokyo/A1302/A130201/13219874/
渋谷鉄板焼きOKANOUE,東京都 渋谷区 道玄坂 1-17-7 いちのビル 4F,steak,tabelog,https://tabelog.com/tokyo/A1303/A130301/13258999/
KJミートダイニング 新宿西口店,東京都 新宿区 西新宿 1-14-3 新宿ひかりビル 2F,steak,tabelog,https://tabelog.com/tokyo/A1304/A130401/13260630/
ステーキのどん 三鷹店,東京都 三鷹市 新川 2-8-19,steak,tabelog,https://tabelog.com/tokyo/A1326/A132601/13041050/
隠れ家鉄板おぶ,東京都 千代田区 神田神保町 2-6-3 早川・青砥ビル Ｂ１,steak,tabelog,https://tabelog.com/tokyo/A1310/A131003/13206414/
グラフィックグリルアンドバー,東京都 渋谷区 東 1-29-3 HOTEL GRAPHY 渋谷 1F,steak,tabelog,https://tabelog.com/tokyo/A1303/A130301/13293011/
八面六秘,東京都 港区 赤坂 4-3-13 堀口ビル 1F,steak,tabelog,https://tabelog.com/tokyo/A1308/A130801/13287824/
有楽町こてがえし,東京都 千代田区 有楽町 2-7-1 有楽町イトシア 2F,steak,tabelog,https://tabelog.com/tokyo/A1301/A130102/13213353/
GINZA THE EMPEROR,東京都 中央区 銀座 7-6-10 アソルティ銀座花椿通りビル 6F,steak,tabelog,https://tabelog.com/tokyo/A1301/A130103/13291704/
和牛テールのお店 ease,東京都 新宿区 新宿 3-7-7 十字屋ビル　B1F,steak,tabelog,https://tabelog.com/tokyo/A1304/A130401/13030250/
和牛焼肉 炭治郎 別邸,東京都 渋谷区 宇田川町 12-7 渋谷エメラルドビル 4F,steak,tabelog,https://tabelog.com/tokyo/A1303/A130301/13289416/
恵比寿焼肉 あかみ,東京都 渋谷区 恵比寿西 1-9-7 グランベル恵比寿西 3F,steak,tabelog,https://tabelog.com/tokyo/A1303/A130302/13249346/
秋田牛鉄板焼 銀座五明,東京都 中央区 銀座 6-4-18 マキシドピアビル B1F,steak,tabelog,https://tabelog.com/tokyo/A1301/A130101/13187289/
とろけるハンバーグ福よし 浅草蔵前店,東京都 台東区 寿 1-6-7,steak,tabelog,https://tabelog.com/tokyo/A1311/A131103/13294210/
肉キッチン BOICHI 八丁堀入船店,東京都 中央区 入船 1-3-9 長崎ビル 1F,steak,tabelog,https://tabelog.com/tokyo/A1302/A130203/13181311/
ハンバーグ酒場 牛時,東京都 新宿区 新宿 2-11-7 第33宮庭ビル B102,steak,tabelog,https://tabelog.com/tokyo/A1304/A130401/13272996/
塊 ミートバル 銀座店,東京都 中央区 銀座 西2-2 銀座インズ2 B1F,steak,tabelog,https://tabelog.com/tokyo/A1301/A130101/13148122/
花蝶 銀座本店,東京都 中央区 銀座 7-16-7,steak,tabelog,https://tabelog.com/tokyo/A1313/A131301/13000332/
デリリウムカフェ レゼルブ 赤坂サカス,東京都 港区 赤坂 5-3-1 赤坂Bizタワー 1F,steak,tabelog,https://tabelog.com/tokyo/A1308/A130801/13047562/
沖縄いちゃりば酒場 あかゆら,東京都 港区 芝 5-9-8 GEMS田町 B1F,steak,tabelog,https://tabelog.com/tokyo/A1314/A131402/13231801/
西麻布 肉粋やまもと,東京都 港区 西麻布 2-2-2 ＮＫ青山ホームズ 1F,steak,tabelog,https://tabelog.com/tokyo/A1307/A130701/13014224/
鉄板焼 grow 立川店,東京都 立川市 柴崎町 3-10-4 コーラル立川ビル 2F,steak,tabelog,https://tabelog.com/tokyo/A1329/A132901/13281611/
焼肉 道盛,東京都 杉並区 上荻 1-15-5,steak,tabelog,https://tabelog.com/tokyo/A1319/A131906/13248760/
KOBE Beef Emperor Steak 新宿歌舞伎町店,東京都 新宿区 歌舞伎町 1-12-1 ktビル 1F,steak,tabelog,https://tabelog.com/tokyo/A1304/A130401/13313522/
アデニア,"東京都 渋谷区 鉢山町 1-7 1F,2F",steak,tabelog,https://tabelog.com/tokyo/A1303/A130301/13139147/
アンティーブ 丸の内ブリックスクエア店,東京都 千代田区 丸の内 2-6-1 丸の内ブリックスクエア 2F,steak,tabelog,https://tabelog.com/tokyo/A1302/A130201/13096440/
近江うし 焼肉 にくTATSU 青山本店,東京都 港区 北青山 2-11-15 町田ビル 1F,steak,tabelog,https://tabelog.com/tokyo/A1306/A130603/13221781/
みかわや,東京都 中央区 銀座 4-7-12,steak,tabelog,https://tabelog.com/tokyo/A1301/A130101/13002421/
MATOI-YA 表参道店,東京都 渋谷区 神宮前 5-50-6 中島ビル B1F,steak,tabelog,https://tabelog.com/tokyo/A1306/A130602/13166362/
トラットリア・ブリッコラ,東京都 新宿区 新宿 3-11-10 新宿３１１ビル　Ｂ１Ｆ,steak,tabelog,https://tabelog.com/tokyo/A1304/A130401/13038992/
ZEALANDER,東京都 千代田区 丸の内 1-5-1 新丸ビル 5F,steak,tabelog,https://tabelog.com/tokyo/A1302/A130201/13216117/
Mon an 新丸ビル,東京都 千代田区 丸の内 1-5-1 新丸の内ビルディング 5F,steak,tabelog,https://tabelog.com/tokyo/A1302/A130201/13287863/
神戸牛ダイア すし屋通り店,東京都 台東区 浅草 1-13-3 やまぐちビル 1号室,steak,tabelog,https://tabelog.com/tokyo/A1311/A131102/13301231/
The SHEEP FORCE,東京都 港区 赤坂 1-12-32 アーク森ビル 2F,steak,tabelog,https://tabelog.com/tokyo/A1307/A130701/13282211/
俺のイタリアン 銀座,東京都 中央区 銀座 1-8-19 キラリト　ギンザB1F,steak,tabelog,https://tabelog.com/tokyo/A1301/A130101/13173949/
シュラスコ＆熟成肉 個室バル 天の川 新宿西口店,東京都 新宿区 西新宿 7-14-14 ホテルマイステイズ 2F,steak,tabelog,https://tabelog.com/tokyo/A1304/A130401/13183747/
パンドラ 西口店,東京都 新宿区 西新宿 1-13-3 西新ビル　２Ｆ,steak,tabelog,https://tabelog.com/tokyo/A1304/A130401/13011964/
Bitter Valley Grill,東京都 渋谷区 渋谷 3-18-5 和田ビル 2F,steak,tabelog,https://tabelog.com/tokyo/A1303/A130301/13196959/
六本木 肉とワイン Uchibito,東京都 港区 六本木 7-17-20 明泉ビル 2F,steak,tabelog,https://tabelog.com/tokyo/A1307/A130701/13168671/
肉とチーズバルGRILL屋 府中店,東京都 府中市 宮西町 2-14-3 大坂屋ビル 1F,steak,tabelog,https://tabelog.com/tokyo/A1326/A132602/13217533/
tsukihana288,東京都 江東区 木場 2-8-8,steak,tabelog,https://tabelog.com/tokyo/A1313/A131303/13159406/
創作ダイニング ラ・ベランダ アパホテル&リゾート 東京ベイ潮見,東京都 江東区 潮見 2-8-6 アパホテル&リゾート 東京ベイ潮見 1F,steak,tabelog,https://tabelog.com/tokyo/A1313/A131304/13101908/
ビヤレストラン　銀座ライオン アトレ恵比寿店,東京都 渋谷区 恵比寿南 1-5-5 アトレ恵比寿 6F,steak,tabelog,https://tabelog.com/tokyo/A1303/A130302/13090667/
牛兵衛 ヨドバシAkiba店,東京都 千代田区 神田花岡町 1-1 8F レストランフロア,steak,tabelog,https://tabelog.com/tokyo/A1310/A131001/13293402/
EMU,東京都 中央区 銀座 6-3-9 Sun-mi TAKAMATSU,steak,tabelog,https://tabelog.com/tokyo/A1301/A130101/13034649/
ダイナミックキッチン＆バー 響  新宿サザンタワー店,東京都 渋谷区 代々木 2-2-1 小田急サザンタワー 4F,steak,tabelog,https://tabelog.com/tokyo/A1304/A130401/13050890/
肉バルブッチャーズ 八百八 御茶ノ水店,東京都 千代田区 神田淡路町 2-9 JR高架下3,steak,tabelog,https://tabelog.com/tokyo/A1310/A131002/13204492/
リストランテ ピッツェリア ジャンカルロ トウキョウ,東京都 港区 麻布台 3-4-14 麻布台マンション 1F,steak,tabelog,https://tabelog.com/tokyo/A1307/A130701/13210568/
ラステイクス,東京都 渋谷区 広尾 5-22-3 広尾西川ビル B1F,steak,tabelog,https://tabelog.com/tokyo/A1303/A130302/13183954/
natuRe tokyo,東京都 新宿区霞ヶ丘町5-7 E棟,steak,tabelog,https://tabelog.com/tokyo/A1306/A130603/13293689/
Rossi,東京都 港区 北青山 2-14-4 青山グランドホテル 20F,steak,tabelog,https://tabelog.com/tokyo/A1306/A130603/13252543/
升屋 神保町店,東京都 千代田区 神田小川町 3-10 新駿河台ビル B1F,steak,tabelog,https://tabelog.com/tokyo/A1310/A131003/13028656/
Grill&BBQ OK's,東京都 新宿区 新宿 1-29-14 パレドール新宿 1F,steak,tabelog,https://tabelog.com/tokyo/A1304/A130402/13293594/
鉄板焼seto,東京都 港区 浜松町 2-6-5 浜松町エクセレントビル204,steak,tabelog,https://tabelog.com/tokyo/A1314/A131401/13227784/
キャンティ・デュエ,東京都 千代田区 神田須田町 2-25-12 ホテルリソル秋葉原 2F,steak,tabelog,https://tabelog.com/tokyo/A1310/A131001/13231894/
赤坂焼肉 KINTAN,東京都 港区 赤坂 3‐17‐1 いちご赤坂village B1F,steak,tabelog,https://tabelog.com/tokyo/A1308/A130801/13177732/
ミートハウス 立川店,東京都 立川市 曙町 2-7-20 カメヤビル 7F C,steak,tabelog,https://tabelog.com/tokyo/A1329/A132901/13296993/
イルリトローボ 渋谷店,東京都 渋谷区 宇田川町 31-1 ヒューリックアンニュー・シブヤ 9F,steak,tabelog,https://tabelog.com/tokyo/A1303/A130301/13208743/
Cossott’e sp 麻布十番店,東京都 港区 六本木 5-13-11 スペーシア麻布十番Ⅰ 2F,steak,tabelog,https://tabelog.com/tokyo/A1307/A130701/13154338/
鉄板 日本橋 KITAZUMI,東京都 中央区 日本橋 2-15-9 日本橋TSビル 1F,steak,tabelog,https://tabelog.com/tokyo/A1302/A130202/13298167/
ベンジャミンステーキハウス 東京ガーデンテラス紀尾井町,東京都 千代田区 紀尾井町 1-3 東京ガーデンテラス紀尾井町 4F,steak,tabelog,https://tabelog.com/tokyo/A1308/A130801/13269091/
SAMURAI dos Premium Steak House 八重洲鉄鋼ビル店,東京都 千代田区 丸の内 1-8-2 鉄鋼ビルディング B1F,steak,tabelog,https://tabelog.com/tokyo/A1302/A130201/13197877/
鉄板焼 天燈,東京都 港区 海岸 1-11-2 アジュール竹芝 21F,steak,tabelog,https://tabelog.com/tokyo/A1314/A131401/13208414/
ライオン 銀座五丁目店,東京都 中央区 銀座 5-8-1 GINZA PLACE B2F,steak,tabelog,https://tabelog.com/tokyo/A1301/A130101/13002606/
鉄板焼き こよい 赤坂店,東京都 港区 赤坂 2-12-12 赤坂フローラビル B1F,steak,tabelog,https://tabelog.com/tokyo/A1308/A130802/13215384/
木乃蔵,東京都 町田市 原町田 6-26-14 内田フォルム第一ビル 2F,steak,tabelog,https://tabelog.com/tokyo/A1327/A132701/13237954/
シュラスコレストランALEGRIA shibuya,東京都 渋谷区 渋谷 3-27-5 東急ステイ渋谷新南口別館 1F,steak,tabelog,https://tabelog.com/tokyo/A1303/A130301/13244702/
Pizzeria&Trattoria GONZO 自由が丘店,東京都 世田谷区 奥沢 5-42-3 トレインチ自由が丘 A101,steak,tabelog,https://tabelog.com/tokyo/A1317/A131703/13211776/
銀座ブルーリリー ステーキ＆チャイニーズレストラン,東京都 中央区 銀座 4-6-1 銀座三和ビル B2F,steak,tabelog,https://tabelog.com/tokyo/A1301/A130101/13265705/
オステリアウララ,東京都 渋谷区 猿楽町 1-3 ユガテビル1F2F,steak,tabelog,https://tabelog.com/tokyo/A1303/A130301/13136881/
隠れ家ダイニング さーて,東京都 新宿区 四谷 1-7-15 山田ビル 2F,steak,tabelog,https://tabelog.com/tokyo/A1309/A130902/13219912/
PURE MEAT SHOP COUNTER,東京都 渋谷区 千駄ヶ谷 2-10-6,steak,tabelog,https://tabelog.com/tokyo/A1309/A130901/13279504/
神戸牛ダイア 歌舞伎町店,東京都 新宿区 歌舞伎町 2-37-2 鈴木ビル 1F,steak,tabelog,https://tabelog.com/tokyo/A1304/A130401/13300618/
円居 新橋,東京都 港区 新橋 3-4-8 クレグラン新橋Ⅲ 1F,steak,tabelog,https://tabelog.com/tokyo/A1301/A130103/13034201/
和牛焼肉 炭治郎 六本木店,東京都 港区 六本木 7-14-11 No.12ニイクラビル 4F,steak,tabelog,https://tabelog.com/tokyo/A1307/A130701/13308059/
八十郎 新富二丁目,東京都 中央区 新富 2-5-10,steak,tabelog,https://tabelog.com/tokyo/A1313/A131301/13167411/
BATON 東武百貨店 池袋店,東京都 豊島区 西池袋 1-1-25 東武百貨店池袋店 レストラン街スパイス 14F,steak,tabelog,https://tabelog.com/tokyo/A1305/A130501/13261641/
銀座 山科,東京都 中央区 銀座 6-4-3 GICROS GINZA GEMS 7F,steak,tabelog,https://tabelog.com/tokyo/A1301/A130101/13240197/
くずし鉄板 あばぐら 恵比寿店,東京都 渋谷区 恵比寿 1-11-5 GEMS恵比寿 7F,steak,tabelog,https://tabelog.com/tokyo/A1303/A130302/13228476/
創作イタリアン肉バル スオーノ,東京都 墨田区 緑 1-28-11 イトーピア両国ステーションコート 1F,steak,tabelog,https://tabelog.com/tokyo/A1312/A131201/13240845/
ベンジャミンステーキハウス 六本木,東京都 港区 六本木 7-14-4 レム六本木ビル B1F,steak,tabelog,https://tabelog.com/tokyo/A1307/A130701/13209863/
田町 銭場精肉店,東京都 港区 芝 5-33-11 田町タワー 1F 1-C,steak,tabelog,https://tabelog.com/tokyo/A1314/A131402/13290336/
Kobe Beef Dining 和牛特区,東京都 新宿区 歌舞伎町 1-29-1 東急歌舞伎町タワー 1F,steak,tabelog,https://tabelog.com/tokyo/A1304/A130401/13279894/
